name,id,release_date,artists,total_tracks,t_name0,t_name1,t_name2,t_dur0,t_dur1,t_dur2,t_dance0,t_dance1,t_dance2,t_energy0,t_energy1,t_energy2,t_key0,t_key1,t_key2,t_mode0,t_mode1,t_mode2,t_speech0,t_speech1,t_speech2,t_acous0,t_acous1,t_acous2,t_ins0,t_ins1,t_ins2,t_live0,t_live1,t_live2,t_val0,t_val1,t_val2,t_tempo0,t_tempo1,t_tempo2,t_sig0,t_sig1,t_sig2,popularity
20/20 Vzion,145801,2020-12-05,"Big Dub, ",9,Reminiscing,Ambition,High Achiever,194583,138390.0,243763.0,0.636,0.757,0.752,0.464,0.711,0.464,1.0,9.0,7.0,1.0,0.0,1.0,0.0537,0.0506,0.039,0.0162,0.012,0.000176,0.958,0.932,0.509,0.134,0.0684,0.312,0.426,0.855,0.534,105.009,149.985,74.997,4.0,4.0,4.0,14
200% Zoblazo,101552,1992,"Meiway, ",7,200% Zoblazo,Essika,Ma Sarah,368133,359466.0,377133.0,0.746,0.5920000000000001,0.7040000000000001,0.514,0.287,0.436,7.0,5.0,7.0,1.0,1.0,1.0,0.0396,0.0277,0.0408,0.0599,0.514,0.267,0.0974,0.0005610000000000001,0.0474,0.0924,0.102,0.0669,0.964,0.252,0.904,135.009,111.914,107.955,4.0,4.0,4.0,26
2005,131788,2005-03-18,"SFDK, ",17,Intro,2005,Diana Fácil,43680,216573.0,243560.0,0.519,0.643,0.684,0.464,0.918,0.813,11.0,7.0,1.0,0.0,1.0,0.0,0.138,0.317,0.36,0.895,0.373,0.0456,0.0,0.0,0.0,0.502,0.26,0.0794,0.8059999999999999,0.759,0.7929999999999999,109.276,91.022,173.389,4.0,4.0,4.0,47
2011 Midwest Clinic: Lakota West High School Symphonic Winds,108073,2012-05-02,"Lakota West High School Symphonic Winds, Gregory L. Snyder, Russel C. Mikkelson, Barry Kopetz, Phillip E. Chumley, Gary P.Gilroy, ",12,Fanfare for the Centennial,Canzon quarta (arr. W. Hautvast),Precision March (arr. L. Clark),141681,151301.0,153630.0,0.265,0.293,0.511,0.381,0.071,0.204,10.0,10.0,3.0,1.0,1.0,1.0,0.0579,0.0407,0.0573,0.7659999999999999,0.986,0.969,0.626,0.908,0.8490000000000001,0.843,0.726,0.7390000000000001,0.45,0.298,0.601,108.015,80.556,133.72299999999998,3.0,4.0,4.0,4
2020 Vszn (Deluxe),116483,2020-12-15,"JRZ, ",18,Vszn Intro,Blindfold,Roller Coaster,129619,147330.0,151092.0,0.428,0.825,0.728,0.633,0.665,0.7709999999999999,1.0,3.0,0.0,1.0,0.0,1.0,0.328,0.136,0.109,0.342,0.0701,0.182,0.0,0.0,0.0,0.215,0.115,0.119,0.231,0.13699999999999998,0.645,206.316,98.001,84.005,4.0,4.0,4.0,10
20th Century Masters: The Millennium Collection: Best Of The Ink Spots,153116,1999-11-02,"The Ink Spots, ",12,If I Didn't Care - Single Version,My Prayer - Single Version,Java Jive - Single Version,185093,195106.0,184293.0,0.556,0.486,0.867,0.0945,0.113,0.0463,6.0,7.0,5.0,0.0,1.0,1.0,0.0545,0.0505,0.0531,0.991,0.988,0.983,0.0052,0.00134,0.0,0.101,0.114,0.118,0.328,0.285,0.482,91.025,100.877,103.147,4.0,4.0,4.0,47
25 YEARS OLD,72423,2021-01-21,"NICECNX, ",9,25 Years Old,My City,ไม่ฟรี,221602,210040.0,202987.0,0.77,0.747,0.8320000000000001,0.565,0.6,0.54,5.0,7.0,5.0,0.0,0.0,1.0,0.204,0.13699999999999998,0.125,0.115,0.0623,0.335,0.0,0.0,0.0,0.109,0.0837,0.109,0.0988,0.41,0.433,97.689,160.012,135.934,4.0,4.0,4.0,21
28,150542,2011-04-26,"OKDAL, ",12,Dalmoon,안부 Nostalgia,없는게 메리트 None the better or Courage,220253,213333.0,210653.0,0.599,0.7390000000000001,0.7559999999999999,0.363,0.201,0.42,5.0,9.0,5.0,1.0,1.0,1.0,0.0373,0.0464,0.029,0.5529999999999999,0.898,0.448,0.463,2.92e-06,0.0,0.0777,0.181,0.0922,0.16899999999999998,0.411,0.394,139.971,145.694,100.162,4.0,3.0,4.0,26
2FACE,48987,2020-06-17,"Hmo386, ",8,Pscht (Intro),HYD,Shayṭān city,49000,224000.0,144000.0,0.5589999999999999,0.775,0.826,0.6679999999999999,0.615,0.57,4.0,5.0,1.0,1.0,0.0,0.0,0.324,0.32,0.0833,0.7040000000000001,0.378,0.718,0.0,1.93e-06,4.23e-06,0.317,0.116,0.113,0.37,0.6859999999999999,0.236,179.731,94.059,125.943,4.0,4.0,4.0,40
2GSZN,85015,2020-01-03,"DEMGS, ",10,Surfin,Im The Shit,Pay Homage,207438,254824.0,345286.0,0.8029999999999999,0.871,0.807,0.403,0.514,0.424,4.0,2.0,2.0,0.0,1.0,1.0,0.165,0.388,0.0812,0.0142,0.0127,0.112,0.0,0.0,0.0,0.151,0.173,0.0795,0.0391,0.27,0.223,125.058,130.006,129.987,4.0,4.0,4.0,4
2Turnt,85371,2021-04-09,"BBDR Tay, ",16,Picture This,One Niggas,Don't Duck,129044,176431.0,129044.0,0.763,0.83,0.784,0.331,0.35600000000000004,0.768,4.0,0.0,4.0,1.0,1.0,1.0,0.133,0.163,0.223,0.612,0.179,0.192,0.0012,0.0,0.0,0.0955,0.0978,0.237,0.735,0.263,0.477,157.056,85.49700000000001,100.022,4.0,4.0,4.0,11
2econd Wind: Ready,153968,2019-10-18,"Anthony Brown & group therAPy, ",13,Ready (Intro),Blessings on Blessings,Blessings On Blessings (The B.O.B. Bounce),128680,291973.0,435813.0,0.5670000000000001,0.632,0.733,0.307,0.904,0.909,7.0,5.0,8.0,0.0,0.0,1.0,0.183,0.16699999999999998,0.281,0.954,0.0541,0.384,1.19e-05,0.0,1.4300000000000004e-05,0.211,0.314,0.0377,0.309,0.654,0.7809999999999999,138.13,96.968,97.068,3.0,4.0,4.0,36
30 Exitos Inolvidables,117822,2012-11-12,"Fito Olivares y Su Grupo, ",30,La Dedicacion,Juana La Cubana,Aguita De Melon,130919,159960.0,150506.0,0.5720000000000001,0.5920000000000001,0.7859999999999999,0.848,0.775,0.9,7.0,5.0,4.0,1.0,1.0,1.0,0.0322,0.0401,0.115,0.0128,0.463,0.226,0.0,0.00088,0.0,0.239,0.156,0.175,0.823,0.6940000000000001,0.962,91.424,175.637,90.305,4.0,4.0,4.0,48
30 Hronia Katy Garbi (Live Katrakio 2019),68985,2020-04-13,"Katy Garbi, ",72,Intro - Live,Kainourgia Ego - Live,Tha Melagholiso - Live,129184,143484.0,153424.0,0.358,0.483,0.503,0.555,0.679,0.858,9.0,9.0,0.0,0.0,0.0,0.0,0.0644,0.0774,0.038,0.0793,0.236,0.151,0.406,0.0,0.0,0.6970000000000001,0.431,0.456,0.129,0.403,0.752,131.998,77.681,173.976,4.0,4.0,4.0,39
360 Grados,117676,2021-02-12,"La Adquisicion, ",12,Dejenme Hacer Dinero,Chambombo,El Ganadero,159070,149536.0,165671.0,0.6859999999999999,0.486,0.746,0.677,0.6990000000000001,0.659,9.0,11.0,9.0,1.0,1.0,1.0,0.0902,0.068,0.0717,0.255,0.486,0.413,0.0,7.76e-06,0.0,0.309,0.141,0.277,0.8320000000000001,0.925,0.8079999999999999,115.46,91.532,114.267,4.0,4.0,4.0,23
3:23,141972,2020-01-07,"Bssg YD, ",7,"I Go In, Pt. 1",Born from Pain,Fuck With Me,109295,172008.0,163250.0,0.8640000000000001,0.87,0.7070000000000001,0.404,0.415,0.81,1.0,11.0,1.0,1.0,1.0,1.0,0.364,0.389,0.0684,0.166,0.202,0.175,0.0,0.0,0.0,0.105,0.0901,0.126,0.774,0.46,0.655,145.08100000000005,133.975,138.922,4.0,4.0,4.0,4
4 Walls,131745,2020-09-09,"Coach Joey, TLG Deuce, ",12,Not a Player,In the Mood,2 Lives,147826,145005.0,141479.0,0.754,0.768,0.639,0.73,0.565,0.5429999999999999,1.0,5.0,11.0,1.0,1.0,0.0,0.475,0.278,0.326,0.0945,0.0276,0.119,0.0,0.0,0.0,0.674,0.382,0.341,0.763,0.298,0.16699999999999998,158.08700000000005,92.696,173.05599999999995,4.0,4.0,4.0,13
432 Hz Deep Healing,1259,2020-03-27,"Miracle Tones, ",12,432 Hz Miracle Sleep Tone,432 Hz Deep Relaxation,432 Hz Bring Down Heart Rate,115000,144000.0,185000.0,0.246,0.16899999999999998,0.162,0.103,0.134,0.0599,9.0,9.0,9.0,1.0,1.0,1.0,0.0458,0.0388,0.038,0.8759999999999999,0.951,0.966,0.941,0.871,0.925,0.0819,0.103,0.0908,0.0386,0.0385,0.0386,132.57299999999998,135.942,132.71200000000002,4.0,4.0,4.0,72
4NUN,71052,2019-10-25,"Quin Nfn, ",10,Talkin' My Shit,Poles,Out My Body,162819,191974.0,109370.0,0.951,0.902,0.703,0.322,0.472,0.5660000000000001,1.0,1.0,0.0,1.0,1.0,0.0,0.588,0.469,0.27,0.00136,0.0153,0.006520000000000001,0.0,0.0,0.0,0.211,0.0539,0.132,0.366,0.65,0.476,126.01,140.046,149.998,4.0,4.0,4.0,53
4th Fajr Music Festival (Zahedan),65423,2001,"Fajr Group, ",20,"Fajr Core Zahedan, Pt. 1","Fajr Core Zahedan, Pt. 2","Fajr Core Zahedan, Pt. 3",143882,279066.0,167601.0,0.301,0.436,0.378,0.374,0.48,0.431,3.0,3.0,8.0,1.0,1.0,1.0,0.0501,0.0667,0.0476,0.939,0.866,0.875,0.0567,0.00937,0.0492,0.621,0.785,0.888,0.523,0.879,0.68,48.29600000000001,179.46099999999996,48.457,4.0,3.0,4.0,27
528 Hz Meditation Music,9362,2020-10-23,"Miracle Tones, Solfeggio Healing Frequencies MT, ",10,528 Hz Love & Miracles,528 Hz Bring Positive Transformation,528 Hz Heal Golden Chakra,137075,111000.0,129062.0,0.173,0.183,0.153,0.0683,0.027000000000000003,0.0522,0.0,0.0,0.0,1.0,1.0,1.0,0.066,0.0387,0.0433,0.93,0.965,0.964,0.7070000000000001,0.992,0.98,0.107,0.116,0.0893,0.0372,0.037000000000000005,0.0397,139.847,68.149,140.601,5.0,3.0,4.0,72
53FPS,22358,2021-06-25,"Jason Chan, ",11,Introlude,純白,感情這回事,21503,225420.0,211633.0,0.319,0.414,0.4970000000000001,0.258,0.34,0.366,11.0,4.0,8.0,1.0,1.0,0.0,0.0655,0.078,0.0429,0.613,0.8270000000000001,0.813,0.0733,0.0,0.0,0.129,0.0989,0.111,0.443,0.419,0.236,108.617,88.48200000000001,121.413,4.0,5.0,4.0,30
55 Gloxks,102390,2021-08-25,"Nuk, Glockboyz Teejaee, ",15,Fuxk It,"Hold on, hold on, wait",Mpr,158452,148301.0,141801.0,0.664,0.767,0.586,0.445,0.616,0.392,2.0,9.0,10.0,1.0,1.0,0.0,0.337,0.377,0.5579999999999999,0.132,0.209,0.368,0.0,0.0,0.0,0.11,0.226,0.14800000000000002,0.166,0.5329999999999999,0.483,129.67,106.023,136.497,5.0,4.0,5.0,29
5o Vima,15861,1996-03-30,"Notis Sfakianakis, ",14,Den Se Hriazome,Mia Matia Sou Mono Ftani,Perna Ki Esi,210000,248000.0,203000.0,0.524,0.7879999999999999,0.735,0.364,0.562,0.505,9.0,2.0,9.0,0.0,0.0,0.0,0.0291,0.0345,0.0352,0.636,0.483,0.485,0.0,9.82e-05,0.0,0.0935,0.0714,0.35600000000000004,0.451,0.396,0.636,129.023,114.787,123.51,4.0,4.0,4.0,37
6 Baby,80198,2020-02-12,"NCG MadMaxx, ",11,Jennifa Lopez,NCG Flow,Charli Sheen,127582,123768.0,142419.0,0.878,0.821,0.747,0.3720000000000001,0.443,0.489,1.0,1.0,11.0,1.0,1.0,1.0,0.494,0.254,0.412,0.1,0.18,0.215,0.0,0.0,0.0,0.0581,0.0407,0.0762,0.58,0.81,0.382,135.959,128.07,136.494,4.0,4.0,4.0,13
60 دقيقة حياة,126025,2015-03-30,"Assala Nasri, ",10,ملهمته الوحيدة,الورد البلدي,سؤال بسيط,330226,206093.0,292240.0,0.257,0.611,0.5660000000000001,0.388,0.8320000000000001,0.6859999999999999,4.0,11.0,9.0,1.0,0.0,0.0,0.0317,0.0435,0.116,0.845,0.113,0.086,1.32e-06,4.48e-05,0.0,0.1,0.0832,0.0992,0.261,0.7040000000000001,0.506,140.84,99.96,168.024,3.0,4.0,4.0,43
8 Diamantes,58631,2014-09-05,"W. Corona, ",11,8 Diamantes,El bandon,Fresco pero malandro,186818,184562.0,264498.0,0.88,0.728,0.893,0.5479999999999999,0.8059999999999999,0.657,8.0,2.0,11.0,1.0,1.0,0.0,0.224,0.0569,0.0505,0.208,0.436,0.00106,0.0,0.0,2.41e-06,0.199,0.325,0.102,0.0984,0.728,0.301,131.86700000000002,139.934,131.995,4.0,4.0,4.0,32
85 to Africa,107049,2019-08-23,"Jidenna, ",11,Worth the Weight (feat. Seun Kuti),85 to Africa,Babouche (feat. GoldLink),262688,143331.0,166870.0,0.408,0.642,0.828,0.591,0.6940000000000001,0.706,7.0,11.0,2.0,0.0,1.0,1.0,0.213,0.364,0.0708,0.0462,0.000335,0.146,0.0,0.0,1.2e-06,0.463,0.312,0.0608,0.317,0.568,0.556,75.26899999999998,106.41,92.976,4.0,4.0,4.0,47
9 jours à Raqqa (Bande originale du film),8770,2021-09-08,"Ibrahim Maalouf, ",15,Sur la route,Arrivée à Raqqa,"Si loin, si proche",80000,61000.0,47000.0,0.171,0.195,0.35,0.0171,0.0331,0.006659999999999999,3.0,7.0,9.0,1.0,1.0,0.0,0.0505,0.0458,0.0449,0.7959999999999999,0.944,0.994,0.953,0.804,0.887,0.102,0.0794,0.0984,0.0313,0.0346,0.541,124.958,66.743,61.852,4.0,4.0,5.0,41
90s RnB,38202,2019-05-03,"Various Artists, ",44,No Diggity,That's The Way Love Goes,This Is How We Do It,304600,265106.0,277293.0,0.868,0.703,0.775,0.6459999999999999,0.7,0.606,1.0,5.0,0.0,0.0,1.0,1.0,0.28800000000000003,0.0693,0.12,0.303,0.302,0.042,0.0,0.471,0.0,0.284,0.0718,0.523,0.67,0.5820000000000001,0.7879999999999999,88.641,97.675,103.648,4.0,4.0,4.0,33
@ddicted 2 Mi Phone,144028,2021-05-28,"Justin S. Grant, ",3,@ddicted 2 Mi Phone,@ddicted 2 Mi Phone (Too-Long Version),@ddicted 2 Mi Phone (Way-Too-Long Version),121967,240000.0,483934.0,0.706,0.695,0.7020000000000001,0.674,0.634,0.6759999999999999,7.0,7.0,7.0,1.0,1.0,1.0,0.0578,0.0485,0.0473,0.00136,0.006220000000000001,0.00526,0.8340000000000001,0.8290000000000001,0.826,0.102,0.118,0.113,0.6579999999999999,0.7040000000000001,0.672,122.02,122.008,122.006,4.0,4.0,4.0,33
A Bailar Huapangos,32718,2019-05-20,"Los Igualados, ",5,Una Vieja,La Loba del Mal,El Pávido Návido,265500,228508.0,252000.0,0.5,0.591,0.795,0.799,0.674,0.931,7.0,5.0,7.0,1.0,1.0,1.0,0.18,0.344,0.0716,0.334,0.259,0.16899999999999998,0.0,3.24e-06,5.56e-05,0.107,0.11,0.0851,0.856,0.91,0.971,180.167,119.777,96.953,3.0,4.0,4.0,42
A Bard's Side Quest,22166,2013-01-18,"Erutan, ",15,You're Not Alone - Final Fantasy IX,Bonds of Sea and Fire - Xenogears,Suteki Da Ne - Final Fantasy X,258418,276445.0,256139.0,0.453,0.507,0.309,0.247,0.22,0.111,11.0,7.0,0.0,0.0,1.0,0.0,0.0377,0.0374,0.0403,0.895,0.82,0.969,1.99e-05,0.00187,0.0,0.35200000000000004,0.0609,0.134,0.221,0.273,0.179,133.98,126.358,127.475,4.0,3.0,3.0,42
A Celebration Of Endings,99745,2020-08-14,"Biffy Clyro, ",11,North Of No South,The Champ,Weird Leisure,245493,217360.0,248493.0,0.425,0.267,0.228,0.9,0.716,0.879,5.0,0.0,5.0,1.0,1.0,1.0,0.0616,0.0518,0.0701,0.000219,0.0234,0.00014099999999999998,4.24e-05,0.0,8.7e-06,0.316,0.17800000000000002,0.0484,0.552,0.224,0.35200000000000004,82.962,195.969,145.418,4.0,4.0,4.0,56
